2	2	OYATSI	DONALD	PANCRAS O.	1	10192	84	37		2017-11-06	2		ABC	1	500010	123456987	321564987	9876543210		OYATSI DONALD PANCRAS O.	male.jpg	\N	20228	1	\N	2	104	\N	\N	\N	2016-05-10	2018-05-01 17:42:33.307819
6	6	Patel		D.J.	1	10058	84	37		2017-11-06	2		XYZ	1	500010	123456987	321564987	9876543210		Patel D.J.	male.jpg	\N	20232	1	\N	2	104	\N	\N	\N	2016-05-10	2018-05-01 17:42:33.455477
10	12	Nilesh	\N	Deokar	1	10058	84	37	\N	2017-11-06	2	\N	Pune	1	506002	111	222	333	nilesh@nilesh.com	Nilesh	male.jpg	\N	20244	1	\N	2	104	\N	\N	\N	\N	2018-05-01 17:42:33.567526
14	38	shiva	\N	shiva	3	10055	84	37	602	2017-11-06	1	1234	Hyderabad	130	\N	123456789	123456789	1234567899	shiva@gmail.com	shiva	\N	\N	\N	1	1	36	104	\N	\N	\N	\N	2018-05-01 17:42:33.699894
18	30246	Willam	\N	Connor	1	10053	84	37	244	2017-11-06	10	202	MNC 109, Telangana	37	500019	9998880001	9998880002	9704961367	tanmay.lohani@ggktech.com	WillamConnor	\N	\N	20258	1	1	36	104	\N	\N	\N	2016-09-12	2018-05-01 17:42:33.798646
22	30250	Henry		Morgan	1	10053	84	37	130	2017-11-06	10	1170	kjhkhkjhkjhkhkjhkhkj	37	500060	211321321546545	545645645645645	564654564564564	hgjhghjgjh@kjhkhkjhkjhkjh	HenryMorgan	male.jpg	male.jpg	20285	1	1	36	104	\N	\N	\N	2016-10-05	2018-05-01 17:42:33.892153
26	30257	Trevor	\N	Jones	1	10053	84	37	121	2017-11-06	10	5455	sdfsdfsdfsdfsdf	37	500060	2434234234234	234234234234	324234234234234	dfsdfsdf@sdfsdfsdf	TrevorJones	male.jpg	male.jpg	20298	1	1	36	104	\N	\N	\N	2016-10-05	2018-05-01 17:42:34.00217
30	30264	sandhya	hhl	hlhkj	2	10048	20099	37	13	2017-11-06	2	6464544453	hydrerduhkl	1536	506565	546546464644654	465465464644646	464164464646464	abc@gmail.com	sandhyahhlhlhkj	\N	\N	20302	0	1	32	104	\N	\N	\N	2016-10-06	2018-05-01 17:42:34.101824
34	30268	Pushpalatha	\N	k	1	10048	11	37	145	2017-11-06	1	123	adfasd	\N	12321	868914881	868914881	8684914881	ksoma2700latha@gmail.com	Pushpalathak	female.jpg	female.jpg	20308	0	0	2	104	\N	\N	\N	2016-10-13	2018-05-01 17:42:34.196369
38	30272	Bindhu	\N	k	1	10053	11	37	169	2017-11-06	8	123	Tirupathi	5	123	45764657456	456746574657	8686914881	ksoma2700latha@gmail.com	Bindhuk	20334.JPG	\N	20334	0	0	2	104	\N	\N	\N	2016-12-08	2018-05-01 17:42:34.293243
